Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
================= EVENT 4 =================
================= EVENT 5 =================
================= EVENT 6 =================
================= EVENT 7 =================
================= EVENT 8 =================
================= EVENT 9 =================
Secondary Gas,hIoni,2212.000000,14.734835,0.063279,-0.808439,1.000000,0.000134
Secondary Gas,hIoni,2212.000000,14.738537,0.063320,-0.808457,1.000000,0.000198
Secondary Gas,hIoni,2212.000000,14.738635,0.063321,-0.808458,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.738802,0.063323,-0.808459,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.739432,0.063330,-0.808462,1.000000,0.000002
Secondary Gas,hIoni,2212.000000,14.741110,0.063349,-0.808470,1.000000,0.001024
Secondary Gas,hIoni,2212.000000,14.742494,0.063365,-0.808476,1.000000,0.000003
Secondary Gas,hIoni,2212.000000,14.743462,0.063375,-0.808481,1.000000,0.000360
Secondary Gas,hIoni,2212.000000,14.743519,0.063376,-0.808482,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.743578,0.063377,-0.808482,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.743850,0.063380,-0.808483,1.000000,0.000016
Secondary Gas,hIoni,2212.000000,14.743867,0.063380,-0.808483,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.744151,0.063383,-0.808485,1.000000,0.000195
Secondary Gas,hIoni,2212.000000,14.744611,0.063388,-0.808487,1.000000,0.000489
Secondary Gas,hIoni,2212.000000,14.745673,0.063400,-0.808493,1.000000,0.000643
Secondary Gas,hIoni,2212.000000,14.747574,0.063422,-0.808502,1.000000,0.000174
Secondary Gas,hIoni,2212.000000,14.748370,0.063431,-0.808506,1.000000,0.000526
Secondary Gas,hIoni,2212.000000,14.749476,0.063443,-0.808512,1.000000,0.000219
Secondary Gas,hIoni,2212.000000,14.751801,0.063470,-0.808524,1.000000,0.000518
Secondary Gas,hIoni,2212.000000,14.755471,0.063510,-0.808543,1.000000,0.001018
Secondary Gas,hIoni,2212.000000,14.755846,0.063515,-0.808545,1.000000,0.000046
Secondary Gas,hIoni,2212.000000,14.755913,0.063515,-0.808545,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.756963,0.063527,-0.808551,1.000000,0.000024
Secondary Gas,hIoni,2212.000000,14.757400,0.063532,-0.808553,1.000000,0.000014
Secondary Gas,hIoni,2212.000000,14.757465,0.063533,-0.808553,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.757914,0.063538,-0.808556,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.757951,0.063538,-0.808556,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.759305,0.063553,-0.808563,1.000000,0.000025
Secondary Gas,hIoni,2212.000000,14.760121,0.063562,-0.808567,1.000000,0.000035
Secondary Gas,hIoni,2212.000000,14.760623,0.063568,-0.808570,1.000000,0.000847
Secondary Gas,hIoni,2212.000000,14.760934,0.063571,-0.808572,1.000000,0.000012
Secondary Gas,hIoni,2212.000000,14.761731,0.063580,-0.808576,1.000000,0.000377
Secondary Gas,hIoni,2212.000000,14.761917,0.063582,-0.808577,1.000000,0.000021
Secondary Gas,hIoni,2212.000000,14.763368,0.063598,-0.808585,1.000000,0.000284
Secondary Gas,hIoni,2212.000000,14.764799,0.063614,-0.808592,1.000000,0.000283
Secondary Gas,hIoni,2212.000000,14.765937,0.063626,-0.808598,1.000000,0.000085
Secondary Gas,hIoni,2212.000000,14.766190,0.063629,-0.808600,1.000000,0.000006
Secondary Gas,hIoni,2212.000000,14.766720,0.063635,-0.808603,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.766741,0.063635,-0.808603,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.766952,0.063637,-0.808604,1.000000,0.000001
Secondary Gas,hIoni,2212.000000,14.767227,0.063640,-0.808606,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.769992,0.063671,-0.808622,1.000000,0.000366
Secondary Gas,hIoni,2212.000000,14.771398,0.063686,-0.808630,1.000000,0.000080
Secondary Gas,hIoni,2212.000000,14.771975,0.063693,-0.808633,1.000000,0.000573
Secondary Gas,hIoni,2212.000000,14.773660,0.063711,-0.808642,1.000000,0.000080
Secondary Gas,hIoni,2212.000000,14.774313,0.063718,-0.808646,1.000000,0.000032
Secondary Gas,hIoni,2212.000000,14.774548,0.063720,-0.808647,1.000000,0.000041
Secondary Gas,hIoni,2212.000000,14.774600,0.063721,-0.808648,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.774702,0.063722,-0.808648,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.774982,0.063725,-0.808650,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.775882,0.063735,-0.808655,1.000000,0.000266
Secondary Gas,hIoni,2212.000000,14.776617,0.063743,-0.808659,1.000000,0.000006
Secondary Gas,hIoni,2212.000000,14.777122,0.063748,-0.808662,1.000000,0.000234
Secondary Gas,hIoni,2212.000000,14.780981,0.063792,-0.808685,1.000000,0.001318
Secondary Gas,hIoni,2212.000000,14.781263,0.063795,-0.808687,1.000000,0.000026
Secondary Gas,hIoni,2212.000000,14.781624,0.063799,-0.808689,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.782715,0.063812,-0.808695,1.000000,0.000007
Secondary Gas,hIoni,2212.000000,14.783564,0.063822,-0.808700,1.000000,0.000481
Secondary Gas,hIoni,2212.000000,14.783758,0.063824,-0.808701,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.784657,0.063834,-0.808706,1.000000,0.000014
Secondary Gas,hIoni,2212.000000,14.785336,0.063842,-0.808710,1.000000,0.000115
Secondary Gas,hIoni,2212.000000,14.785831,0.063848,-0.808713,1.000000,0.000005
Secondary Gas,hIoni,2212.000000,14.785831,0.063848,-0.808713,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.786466,0.063855,-0.808717,1.000000,0.000178
Secondary Gas,hIoni,2212.000000,14.787304,0.063865,-0.808721,1.000000,0.000235
Secondary Gas,hIoni,2212.000000,14.788525,0.063879,-0.808728,1.000000,0.000379
Secondary Gas,hIoni,2212.000000,14.788844,0.063883,-0.808730,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.789955,0.063896,-0.808736,1.000000,0.000011
Secondary Gas,hIoni,2212.000000,14.791146,0.063910,-0.808742,1.000000,0.000192
Secondary Gas,hIoni,2212.000000,14.793255,0.063934,-0.808754,1.000000,0.000057
Secondary Gas,hIoni,2212.000000,14.793832,0.063940,-0.808757,1.000000,0.000024
Secondary Gas,hIoni,2212.000000,14.794216,0.063945,-0.808759,1.000000,0.000010
Secondary Gas,hIoni,2212.000000,14.794745,0.063951,-0.808762,1.000000,0.000007
Secondary Gas,hIoni,2212.000000,14.795498,0.063960,-0.808767,1.000000,0.000006
Secondary Gas,hIoni,2212.000000,14.795642,0.063961,-0.808767,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.795817,0.063963,-0.808768,1.000000,0.000002
Secondary Gas,hIoni,2212.000000,14.797976,0.063988,-0.808780,1.000000,0.000141
Secondary Gas,hIoni,2212.000000,14.798128,0.063990,-0.808781,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.799051,0.064000,-0.808786,1.000000,0.000112
Secondary Gas,hIoni,2212.000000,14.799148,0.064001,-0.808787,1.000000,0.000021
Secondary Gas,hIoni,2212.000000,14.800105,0.064012,-0.808792,1.000000,0.000009
Secondary Gas,hIoni,2212.000000,14.801052,0.064023,-0.808797,1.000000,0.000041
Secondary Gas,hIoni,2212.000000,14.801054,0.064023,-0.808797,1.000000,0.000001
Secondary Gas,hIoni,2212.000000,14.801632,0.064029,-0.808800,1.000000,0.000117
Secondary Gas,hIoni,2212.000000,14.802425,0.064038,-0.808804,1.000000,0.000002
Secondary Gas,hIoni,2212.000000,14.803117,0.064046,-0.808808,1.000000,0.000077
Secondary Gas,hIoni,2212.000000,14.803962,0.064055,-0.808813,1.000000,0.000021
Secondary Gas,hIoni,2212.000000,14.804085,0.064056,-0.808813,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.805147,0.064068,-0.808820,1.000000,0.000260
Secondary Gas,hIoni,2212.000000,14.806408,0.064081,-0.808827,1.000000,0.000182
Secondary Gas,hIoni,2212.000000,14.806750,0.064085,-0.808829,1.000000,0.000043
Secondary Gas,hIoni,2212.000000,14.808112,0.064100,-0.808838,1.000000,0.000349
Secondary Gas,hIoni,2212.000000,14.808779,0.064108,-0.808843,1.000000,0.000463
Secondary Gas,hIoni,2212.000000,14.809254,0.064113,-0.808847,1.000000,0.000003
Secondary Gas,hIoni,2212.000000,14.809534,0.064117,-0.808850,1.000000,0.000068
Secondary Gas,hIoni,2212.000000,14.810143,0.064124,-0.808855,1.000000,0.000054
Secondary Gas,hIoni,2212.000000,14.810707,0.064130,-0.808859,1.000000,0.000002
Secondary Gas,hIoni,2212.000000,14.812865,0.064156,-0.808877,1.000000,0.000611
Secondary Gas,hIoni,2212.000000,14.813738,0.064166,-0.808885,1.000000,0.000113
Secondary Gas,hIoni,2212.000000,14.813983,0.064169,-0.808887,1.000000,0.000008
Secondary Gas,hIoni,2212.000000,14.815818,0.064190,-0.808902,1.000000,0.000072
Secondary Gas,hIoni,2212.000000,14.816643,0.064200,-0.808909,1.000000,0.000864
Secondary Gas,hIoni,2212.000000,14.816752,0.064201,-0.808910,1.000000,0.000019
Secondary Gas,hIoni,2212.000000,14.817834,0.064213,-0.808919,1.000000,0.000005
Secondary Gas,hIoni,2212.000000,14.818605,0.064222,-0.808925,1.000000,0.000229
Secondary Gas,hIoni,2212.000000,14.818871,0.064225,-0.808927,1.000000,0.000125
Secondary Gas,hIoni,2212.000000,14.818977,0.064226,-0.808928,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.819557,0.064233,-0.808933,1.000000,0.000013
Secondary Gas,hIoni,2212.000000,14.820248,0.064241,-0.808939,1.000000,0.000404
Secondary Gas,hIoni,2212.000000,14.820371,0.064242,-0.808940,1.000000,0.000352
Secondary Gas,hIoni,2212.000000,14.820685,0.064246,-0.808943,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.822128,0.064263,-0.808955,1.000000,0.000214
Secondary Gas,hIoni,2212.000000,14.822677,0.064269,-0.808959,1.000000,0.000068
Secondary Gas,hIoni,2212.000000,14.822877,0.064271,-0.808961,1.000000,0.000001
Secondary Gas,hIoni,2212.000000,14.823430,0.064278,-0.808966,1.000000,0.000009
Secondary Gas,hIoni,2212.000000,14.824372,0.064289,-0.808973,1.000000,0.000037
