Cathode,Cathode,phot,22,phot,15.7291,1.92e-05
Cathode,Cathode,phot,22,phot,15.7291,2.548e-05
Cathode,Cathode,phot,22,phot,15.7291,1.291e-05
Cathode,Cathode,phot,22,phot,15.7286,5.13e-05
Cathode,Cathode,phot,22,phot,15.7287,3.839e-05
Cathode,Cathode,phot,22,phot,15.7286,1.274e-05
Cathode,Cathode,phot,22,phot,15.7286,2.565e-05
Cathode,Cathode,phot,22,phot,15.7286,2.582e-05
Cathode,Cathode,phot,22,phot,15.7284,1.274e-05
Cathode,Cathode,phot,22,phot,15.7284,1.291e-05
Cathode,Cathode,phot,22,phot,15.7284,1.492e-05
Cathode,Cathode,phot,22,phot,15.7284,2.548e-05
Cathode,Cathode,phot,22,phot,15.7284,2.565e-05
Cathode,Cathode,phot,22,phot,15.7284,1.492e-05
Cathode,Cathode,phot,22,phot,15.7284,1.274e-05
Cathode,Cathode,phot,22,phot,15.7285,1.291e-05
Cathode,Cathode,phot,22,phot,15.7286,2.565e-05
Cathode,Cathode,phot,22,phot,15.7286,6.37e-06
Cathode,Cathode,phot,22,phot,15.7286,1.466e-05
Cathode,Cathode,phot,22,phot,15.7286,1.291e-05
Cathode,Cathode,phot,22,phot,15.7287,1.274e-05
Cathode,Cathode,phot,22,phot,15.7287,1.274e-05
Cathode,Cathode,phot,22,phot,15.7296,1.466e-05
Cathode,Cathode,phot,22,phot,15.7296,5.13e-05
Cathode,Cathode,phot,22,phot,15.7296,6.37e-06
Cathode,Cathode,phot,22,phot,15.7296,2.548e-05
Cathode,Cathode,phot,22,phot,15.7296,2.565e-05
Cathode,Cathode,phot,22,phot,15.7296,2.565e-05
Cathode,Cathode,phot,22,phot,15.7296,3.839e-05
Cathode,Cathode,phot,22,phot,15.7296,2.566e-05
Cathode,Cathode,phot,22,phot,15.7296,1.291e-05
Cathode,Cathode,phot,22,phot,15.7296,2.582e-05
Cathode,Cathode,phot,22,phot,15.7296,2.548e-05
Cathode,Cathode,phot,22,phot,15.7297,3.856e-05
Cathode,Cathode,phot,22,phot,15.7297,2.565e-05
Cathode,Cathode,phot,22,phot,15.7297,3.839e-05
Cathode,Cathode,phot,22,phot,15.7297,1.274e-05
Cathode,Cathode,phot,22,phot,15.7298,5.13e-05
Cathode,Cathode,phot,22,phot,15.7298,1.274e-05
Cathode,Cathode,phot,22,phot,15.7298,2.932e-05
Cathode,Cathode,phot,22,phot,15.7296,1.911e-05
Cathode,Cathode,phot,22,phot,15.7296,2.565e-05
Cathode,Cathode,phot,22,phot,15.7283,5.13e-05
Cathode,Cathode,phot,22,phot,15.7283,2.565e-05
Cathode,Cathode,phot,22,phot,15.7283,2.548e-05
Cathode,Cathode,phot,22,phot,15.7283,1.291e-05
Cathode,Cathode,phot,22,phot,15.7284,1.274e-05
Cathode,Cathode,phot,22,phot,15.7284,2.582e-05
Cathode,Cathode,phot,22,phot,15.7284,1.274e-05
Cathode,Cathode,phot,22,phot,15.7284,2.565e-05
Cathode,Cathode,phot,22,phot,15.7284,1.274e-05
Cathode,Cathode,phot,22,phot,15.7284,2.984e-05
Cathode,Cathode,phot,22,phot,15.7283,1.92e-05
Cathode,Cathode,phot,22,phot,15.7283,1.492e-05
Cathode,Cathode,phot,22,phot,15.7282,0.00011517
Cathode,Cathode,phot,22,phot,15.7282,2.565e-05
Cathode,Cathode,phot,22,phot,15.7282,1.291e-05
Cathode,Cathode,phot,22,phot,15.7282,1.274e-05
