Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
Secondary Cathode,eIoni,-11.000000,15.424290,0.834043,-1.677440,4.000000,0.000179
Secondary Cathode,msc,-11.000000,15.424289,0.834043,-1.677440,4.000000,0.000007
Secondary Cathode,msc,-11.000000,15.424283,0.834043,-1.677442,4.000000,0.000095
Secondary Cathode,msc,-11.000000,15.424282,0.834043,-1.677442,4.000000,0.000004
Secondary Cathode,msc,-11.000000,15.424275,0.834043,-1.677443,4.000000,0.000025
Secondary Cathode,eIoni,-11.000000,15.424274,0.834043,-1.677443,4.000000,0.000006
Secondary Cathode,eIoni,-11.000000,15.424272,0.834043,-1.677444,4.000000,0.000046
Secondary Cathode,eIoni,-11.000000,15.424267,0.834044,-1.677445,4.000000,0.000020
Secondary Cathode,msc,-11.000000,15.424262,0.834044,-1.677446,4.000000,0.000029
Secondary Cathode,eIoni,-11.000000,15.424257,0.834044,-1.677447,4.000000,0.000039
Secondary Cathode,eIoni,-11.000000,15.424187,0.834047,-1.677460,4.000000,0.000305
Secondary Cathode,eIoni,-11.000000,15.424155,0.834048,-1.677466,4.000000,0.000084
Secondary Cathode,eIoni,-11.000000,15.424107,0.834050,-1.677475,4.000000,0.000088
Secondary Cathode,eIoni,-11.000000,15.424089,0.834051,-1.677479,4.000000,0.000203
Secondary Cathode,msc,-11.000000,15.424088,0.834051,-1.677479,4.000000,0.000004
Secondary Cathode,msc,-11.000000,15.424082,0.834051,-1.677481,4.000000,0.000054
Secondary Cathode,eIoni,-11.000000,15.424076,0.834052,-1.677482,4.000000,0.000001
Secondary Cathode,eIoni,-11.000000,15.424042,0.834053,-1.677488,4.000000,0.000179
Secondary Cathode,msc,-11.000000,15.424041,0.834053,-1.677489,4.000000,0.000006
Secondary Cathode,msc,-11.000000,15.424039,0.834053,-1.677489,4.000000,0.000010
Secondary Cathode,msc,-11.000000,15.424026,0.834054,-1.677491,4.000000,0.000182
