Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
Secondary SupportRod,eIoni,-11.000000,4.167530,-0.999621,-1.813618,9.000000,0.000530
Secondary SupportRod,eIoni,-11.000000,4.167514,-0.999622,-1.813304,9.000000,0.000132
Secondary SupportRod,eIoni,-11.000000,4.167494,-0.999622,-1.812607,9.000000,0.000521
Secondary SupportRod,eIoni,-11.000000,4.167489,-0.999622,-1.812352,9.000000,0.000131
Secondary SupportRod,eIoni,-11.000000,4.167490,-0.999622,-1.812304,9.000000,0.000100
Secondary SupportRod,eIoni,-11.000000,4.167493,-0.999623,-1.812179,9.000000,0.000166
Secondary SupportRod,eIoni,-11.000000,4.167497,-0.999623,-1.812027,9.000000,0.000328
Secondary SupportRod,eIoni,-11.000000,4.167509,-0.999623,-1.811692,9.000000,0.000656
Secondary SupportRod,eIoni,-11.000000,4.167513,-0.999623,-1.811562,9.000000,0.000190
Secondary SupportRod,eIoni,-11.000000,4.167515,-0.999623,-1.811527,9.000000,0.000039
Secondary SupportRod,eIoni,-11.000000,4.167519,-0.999624,-1.811288,9.000000,0.000107
Secondary SupportRod,eIoni,-11.000000,4.167519,-0.999624,-1.811241,9.000000,0.000038
Secondary SupportRod,eIoni,-11.000000,4.167527,-0.999625,-1.810190,9.000000,0.000998
Secondary SupportRod,eIoni,-11.000000,4.167592,-0.999626,-1.809760,9.000000,0.000541
Secondary SupportRod,eIoni,-11.000000,4.167602,-0.999626,-1.809705,9.000000,0.000040
Secondary SupportRod,eIoni,-11.000000,4.167632,-0.999626,-1.809526,9.000000,0.000294
Secondary SupportRod,eIoni,-11.000000,4.167639,-0.999626,-1.809488,9.000000,0.000055
Secondary SupportRod,eIoni,-11.000000,4.167769,-0.999626,-1.808759,9.000000,0.000853
Secondary SupportRod,eIoni,-11.000000,4.167772,-0.999626,-1.808735,9.000000,0.000025
Secondary SupportRod,eIoni,-11.000000,4.167801,-0.999627,-1.808427,9.000000,0.000239
Secondary SupportRod,eIoni,-11.000000,4.167802,-0.999627,-1.808412,9.000000,0.000106
Secondary SupportRod,eIoni,-11.000000,4.167893,-0.999627,-1.807497,9.000000,0.000579
Secondary SupportRod,eIoni,-11.000000,4.167909,-0.999627,-1.806724,9.000000,0.000626
Secondary SupportRod,eIoni,-11.000000,4.167920,-0.999628,-1.806070,9.000000,0.000414
Secondary SupportRod,eIoni,-11.000000,4.167930,-0.999628,-1.805303,9.000000,0.000557
Secondary SupportRod,eIoni,-11.000000,4.167934,-0.999628,-1.804867,9.000000,0.000307
Secondary SupportRod,eIoni,-11.000000,4.167934,-0.999628,-1.804767,9.000000,0.000020
Secondary SupportRod,eIoni,-11.000000,4.167933,-0.999628,-1.804539,9.000000,0.000225
Secondary SupportRod,eIoni,-11.000000,4.167934,-0.999629,-1.803700,9.000000,0.000511
Secondary SupportRod,eIoni,-11.000000,4.167936,-0.999629,-1.803311,9.000000,0.000313
Secondary SupportRod,eIoni,-11.000000,4.167938,-0.999629,-1.803191,9.000000,0.000020
Secondary SupportRod,eIoni,-11.000000,4.167964,-0.999629,-1.801892,9.000000,0.000869
Secondary SupportRod,eIoni,-11.000000,4.167974,-0.999629,-1.801658,9.000000,0.000234
Secondary SupportRod,eIoni,-11.000000,4.167976,-0.999629,-1.801594,9.000000,0.000010
Secondary SupportRod,eIoni,-11.000000,4.167979,-0.999629,-1.801468,9.000000,0.000082
Secondary SupportRod,eIoni,-11.000000,4.167998,-0.999630,-1.800814,9.000000,0.000302
Secondary SupportRod,eIoni,-11.000000,4.168003,-0.999630,-1.800630,9.000000,0.000127
Secondary SupportRod,eIoni,-11.000000,4.168007,-0.999630,-1.800448,9.000000,0.000144
Secondary SupportRod,eIoni,-11.000000,4.168019,-0.999630,-1.799995,9.000000,0.000397
Secondary SupportRod,eIoni,-11.000000,4.168026,-0.999630,-1.799702,9.000000,0.000063
Secondary SupportRod,eIoni,-11.000000,4.168026,-0.999630,-1.799654,9.000000,0.000075
Secondary SupportRod,eIoni,-11.000000,4.168034,-0.999630,-1.799156,9.000000,0.000204
Secondary SupportRod,eIoni,-11.000000,4.168057,-0.999630,-1.798433,9.000000,0.000409
Secondary SupportRod,eIoni,-11.000000,4.168056,-0.999630,-1.798341,9.000000,0.000052
Secondary SupportRod,eIoni,-11.000000,4.168055,-0.999630,-1.798213,9.000000,0.000070
Secondary SupportRod,eIoni,-11.000000,4.168055,-0.999630,-1.797622,9.000000,0.000329
Secondary SupportRod,eIoni,-11.000000,4.168051,-0.999630,-1.797386,9.000000,0.000136
Secondary SupportRod,eIoni,-11.000000,4.168044,-0.999631,-1.797001,9.000000,0.000166
Secondary SupportRod,eIoni,-11.000000,4.168042,-0.999631,-1.796808,9.000000,0.000147
Secondary SupportRod,eIoni,-11.000000,4.168042,-0.999631,-1.796780,9.000000,0.000127
Secondary SupportRod,eIoni,-11.000000,4.168042,-0.999631,-1.796767,9.000000,0.000018
Secondary SupportRod,eIoni,-11.000000,4.168039,-0.999631,-1.796568,9.000000,0.000048
Secondary SupportRod,eIoni,-11.000000,4.168036,-0.999631,-1.796428,9.000000,0.000078
Secondary SupportRod,eIoni,-11.000000,4.168035,-0.999631,-1.796368,9.000000,0.000102
Secondary SupportRod,eIoni,-11.000000,4.168025,-0.999631,-1.795687,9.000000,0.000527
Secondary SupportRod,eIoni,-11.000000,4.168024,-0.999632,-1.795624,9.000000,0.000085
Secondary SupportRod,eIoni,-11.000000,4.168004,-0.999632,-1.794981,9.000000,0.000602
Secondary SupportRod,eIoni,-11.000000,4.168003,-0.999632,-1.794974,9.000000,0.000035
Secondary SupportRod,eIoni,-11.000000,4.168002,-0.999632,-1.794928,9.000000,0.000010
