Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
================= EVENT 4 =================
================= EVENT 5 =================
================= EVENT 6 =================
================= EVENT 7 =================
================= EVENT 8 =================
================= EVENT 9 =================
================= EVENT 10 =================
Secondary Gas,hIoni,2212.000000,14.551360,-0.555493,1.478040,1.000000,0.000003
Secondary Gas,hIoni,2212.000000,14.552042,-0.555512,1.478110,1.000000,0.000053
Secondary Gas,hIoni,2212.000000,14.554040,-0.555569,1.478313,1.000000,0.000419
Secondary Gas,hIoni,2212.000000,14.554763,-0.555589,1.478386,1.000000,0.000045
Secondary Gas,hIoni,2212.000000,14.555298,-0.555605,1.478441,1.000000,0.000109
Secondary Gas,hIoni,2212.000000,14.555322,-0.555605,1.478443,1.000000,0.000125
Secondary Gas,hIoni,2212.000000,14.555397,-0.555608,1.478451,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.557292,-0.555662,1.478643,1.000000,0.000233
Secondary Gas,hIoni,2212.000000,14.558011,-0.555683,1.478716,1.000000,0.000706
Secondary Gas,hIoni,2212.000000,14.558640,-0.555701,1.478779,1.000000,0.000180
Secondary Gas,hIoni,2212.000000,14.559067,-0.555713,1.478822,1.000000,0.000766
Secondary Gas,hIoni,2212.000000,14.559685,-0.555731,1.478885,1.000000,0.001248
Secondary Gas,hIoni,2212.000000,14.560393,-0.555751,1.478956,1.000000,0.000071
Secondary Gas,hIoni,2212.000000,14.560979,-0.555768,1.479015,1.000000,0.000017
Secondary Gas,hIoni,2212.000000,14.561043,-0.555770,1.479021,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.561281,-0.555777,1.479045,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,14.561824,-0.555792,1.479100,1.000000,0.000093
Secondary Gas,hIoni,2212.000000,14.563311,-0.555835,1.479250,1.000000,0.000541
Secondary Gas,hIoni,2212.000000,14.563985,-0.555854,1.479317,1.000000,0.000982
Secondary Gas,hIoni,2212.000000,14.564045,-0.555856,1.479324,1.000000,0.000000
