Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
================= EVENT 4 =================
================= EVENT 5 =================
================= EVENT 6 =================
================= EVENT 7 =================
================= EVENT 8 =================
================= EVENT 9 =================
================= EVENT 10 =================
Secondary SupportRod,phot,22.000000,14.293528,-0.999915,2.801820,684.000000,0.000010
Secondary SupportRod,phot,22.000000,14.293560,-0.999915,2.801142,675.000000,0.000030
Secondary SupportRod,phot,22.000000,14.293560,-0.999915,2.801139,691.000000,0.000010
Secondary SupportRod,phot,22.000000,14.293554,-0.999915,2.801115,696.000000,0.000010
Secondary SupportRod,phot,22.000000,14.293559,-0.999915,2.801117,691.000000,0.000010
Secondary SupportRod,phot,22.000000,14.293560,-0.999915,2.801116,699.000000,0.000010
Secondary SupportRod,phot,22.000000,14.293495,-0.999915,2.801580,675.000000,0.000010
Secondary SupportRod,phot,22.000000,14.293433,-0.999915,2.802140,656.000000,0.000010
Secondary SupportRod,phot,22.000000,14.293432,-0.999915,2.802145,703.000000,0.000010
Secondary SupportRod,phot,22.000000,14.292929,-0.999914,2.828530,306.000000,0.000040
Secondary SupportRod,phot,22.000000,14.292929,-0.999914,2.828529,707.000000,0.000020
Secondary SupportRod,phot,22.000000,14.292928,-0.999914,2.828531,707.000000,0.000020
Secondary SupportRod,phot,22.000000,14.292927,-0.999914,2.828522,707.000000,0.000010
Secondary SupportRod,phot,22.000000,14.292927,-0.999914,2.828515,717.000000,0.000010
Secondary SupportRod,phot,22.000000,14.293347,-0.999914,2.828183,706.000000,0.000020
Secondary SupportRod,phot,22.000000,14.293346,-0.999914,2.828180,706.000000,0.000010
Secondary SupportRod,phot,22.000000,14.293345,-0.999914,2.828186,726.000000,0.000010
Secondary SupportRod,phot,22.000000,14.293342,-0.999914,2.828173,706.000000,0.000010
Secondary SupportRod,phot,22.000000,14.293342,-0.999914,2.828175,729.000000,0.000010
Secondary SupportRod,phot,22.000000,14.293342,-0.999914,2.828180,731.000000,0.000010
Secondary SupportRod,phot,22.000000,14.293375,-0.999914,2.827500,706.000000,0.000020
Secondary SupportRod,phot,22.000000,14.308911,-0.999919,2.723530,306.000000,0.000020
Secondary SupportRod,phot,22.000000,14.308911,-0.999919,2.723542,738.000000,0.000020
Secondary SupportRod,phot,22.000000,14.308906,-0.999919,2.723531,738.000000,0.000010
Secondary SupportRod,phot,22.000000,14.308910,-0.999919,2.723527,743.000000,0.000020
Secondary SupportRod,phot,22.000000,14.296892,-0.999912,2.731918,423.000000,0.000059
Secondary SupportRod,phot,22.000000,14.296890,-0.999912,2.731913,749.000000,0.000010
Secondary SupportRod,phot,22.000000,14.296890,-0.999912,2.731918,755.000000,0.000030
Secondary SupportRod,phot,22.000000,14.296884,-0.999912,2.731811,749.000000,0.000020
Secondary SupportRod,phot,22.000000,14.296885,-0.999912,2.731815,760.000000,0.000020
Secondary SupportRod,phot,22.000000,14.296883,-0.999912,2.731808,760.000000,0.000010
Secondary SupportRod,phot,22.000000,14.297768,-0.999912,2.731467,747.000000,0.000010
Secondary SupportRod,phot,22.000000,14.297768,-0.999912,2.731468,747.000000,0.000010
Secondary SupportRod,phot,22.000000,14.297770,-0.999912,2.731474,777.000000,0.000020
Secondary SupportRod,phot,22.000000,14.297769,-0.999912,2.731481,747.000000,0.000030
Secondary SupportRod,phot,22.000000,14.297768,-0.999912,2.731481,781.000000,0.000010
Secondary SupportRod,phot,22.000000,14.297769,-0.999912,2.731480,781.000000,0.000010
Secondary SupportRod,phot,22.000000,14.297814,-0.999912,2.732310,747.000000,0.000020
Secondary SupportRod,phot,22.000000,14.297817,-0.999912,2.732310,788.000000,0.000010
Secondary SupportRod,phot,22.000000,14.297815,-0.999912,2.732302,792.000000,0.000010
Secondary SupportRod,phot,22.000000,14.297817,-0.999912,2.732305,792.000000,0.000010
Secondary SupportRod,phot,22.000000,14.297814,-0.999912,2.732311,788.000000,0.000010
Secondary SupportRod,phot,22.000000,14.297854,-0.999912,2.731729,747.000000,0.000020
Secondary SupportRod,phot,22.000000,14.297854,-0.999912,2.731728,798.000000,0.000010
Secondary SupportRod,phot,22.000000,14.297810,-0.999912,2.731032,747.000000,0.000017
Secondary SupportRod,phot,22.000000,14.297837,-0.999912,2.731473,747.000000,0.000010
Secondary SupportRod,phot,22.000000,14.297837,-0.999912,2.731478,804.000000,0.000010
Secondary SupportRod,phot,22.000000,14.297913,-0.999912,2.731135,747.000000,0.000039
Secondary SupportRod,phot,22.000000,14.297899,-0.999912,2.731121,808.000000,0.000010
Secondary SupportRod,phot,22.000000,14.297900,-0.999912,2.731118,814.000000,0.000010
Secondary SupportRod,phot,22.000000,14.297902,-0.999912,2.731115,816.000000,0.000010
Secondary SupportRod,phot,22.000000,14.297912,-0.999912,2.731141,808.000000,0.000010
Secondary SupportRod,phot,22.000000,14.297912,-0.999912,2.731139,808.000000,0.000010
Secondary SupportRod,phot,22.000000,14.298020,-0.999912,2.731102,807.000000,0.000010
Secondary SupportRod,phot,22.000000,14.298018,-0.999912,2.731078,823.000000,0.000010
Secondary SupportRod,phot,22.000000,14.297996,-0.999912,2.731141,807.000000,0.000020
Secondary SupportRod,phot,22.000000,14.298009,-0.999912,2.731166,827.000000,0.000010
Secondary SupportRod,phot,22.000000,14.298011,-0.999912,2.731163,827.000000,0.000010
Secondary SupportRod,phot,22.000000,14.298012,-0.999912,2.731164,827.000000,0.000010
Secondary SupportRod,phot,22.000000,14.298012,-0.999912,2.731165,827.000000,0.000010
Secondary SupportRod,phot,22.000000,14.297996,-0.999912,2.731133,826.000000,0.000010
Secondary SupportRod,phot,22.000000,14.297412,-0.999912,2.731578,747.000000,0.000039
Secondary SupportRod,phot,22.000000,14.297371,-0.999912,2.731432,839.000000,0.000010
Secondary SupportRod,phot,22.000000,14.297367,-0.999912,2.731451,843.000000,0.000020
Secondary SupportRod,phot,22.000000,14.297368,-0.999912,2.731467,845.000000,0.000010
Secondary SupportRod,phot,22.000000,14.297369,-0.999912,2.731483,848.000000,0.000010
Secondary SupportRod,phot,22.000000,14.305289,-0.999917,2.715972,736.000000,0.000010
Secondary SupportRod,phot,22.000000,14.305268,-0.999917,2.715878,736.000000,0.000010
Secondary SupportRod,phot,22.000000,14.305273,-0.999917,2.715882,860.000000,0.000010
Secondary SupportRod,phot,22.000000,14.305272,-0.999917,2.715880,862.000000,0.000010
Secondary SupportRod,phot,22.000000,14.305271,-0.999917,2.715887,864.000000,0.000010
Secondary SupportRod,phot,22.000000,14.305360,-0.999917,2.716258,736.000000,0.000020
Secondary SupportRod,phot,22.000000,14.305593,-0.999918,2.716386,867.000000,0.000010
Secondary SupportRod,phot,22.000000,14.305596,-0.999918,2.716406,867.000000,0.000030
Secondary SupportRod,phot,22.000000,14.305590,-0.999918,2.715895,874.000000,0.000020
Secondary SupportRod,phot,22.000000,14.305591,-0.999918,2.715904,878.000000,0.000010
Secondary SupportRod,phot,22.000000,14.305487,-0.999917,2.716654,867.000000,0.000010
Secondary SupportRod,phot,22.000000,14.305488,-0.999917,2.716657,882.000000,0.000010
Secondary SupportRod,phot,22.000000,14.305501,-0.999917,2.716642,882.000000,0.000020
Secondary SupportRod,phot,22.000000,14.305487,-0.999917,2.716653,882.000000,0.000010
Secondary SupportRod,phot,22.000000,14.305457,-0.999918,2.716593,867.000000,0.000010
Secondary SupportRod,phot,22.000000,14.305457,-0.999918,2.716594,890.000000,0.000010
Secondary SupportRod,phot,22.000000,14.305469,-0.999918,2.718988,736.000000,0.000030
Secondary SupportRod,phot,22.000000,14.305467,-0.999918,2.719070,894.000000,0.000010
Secondary SupportRod,phot,22.000000,14.305465,-0.999918,2.719070,894.000000,0.000020
Secondary SupportRod,phot,22.000000,14.305465,-0.999918,2.719069,899.000000,0.000020
Secondary SupportRod,phot,22.000000,14.305462,-0.999918,2.719071,899.000000,0.000020
