Volume, Process, Particle, Process, Radius, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
Secondary Cathode,phot,22,15.7237,1094,1.274e-05
Secondary Cathode,phot,22,15.7237,1109,1.291e-05
Secondary Cathode,phot,22,15.7235,1077,3.839e-05
Secondary Cathode,phot,22,15.7238,1077,3.856e-05
Secondary Cathode,phot,22,15.7237,1077,1.291e-05
Secondary Cathode,phot,22,15.7241,1058,2.044e-05
Secondary Cathode,phot,22,15.724,1058,2.565e-05
Secondary Cathode,phot,22,15.7242,1032,1.291e-05
Secondary Cathode,phot,22,15.724,1031,1.283e-05
Secondary Cathode,phot,22,15.7235,1031,2.582e-05
Secondary Cathode,phot,22,15.7235,1130,0
Secondary Cathode,phot,22,15.7235,1134,6.46e-06
Secondary Cathode,phot,22,15.7235,1136,6.37e-06
Secondary Cathode,phot,22,15.7235,1130,2.027e-05
Secondary Cathode,phot,22,15.7235,1130,1.291e-05
Secondary Cathode,phot,22,15.7235,1124,3.203e-05
Secondary Cathode,phot,22,15.7235,1144,1.466e-05
Secondary Cathode,phot,22,15.7232,1143,2.958e-05
Secondary Cathode,phot,22,15.7232,1155,2.565e-05
Secondary Cathode,phot,22,15.7231,1143,1.492e-05
Secondary Cathode,phot,22,15.7231,1160,1.274e-05
Secondary Cathode,phot,22,15.7231,1143,4.071e-05
Secondary Cathode,phot,22,15.7231,1164,1.283e-05
Secondary Cathode,phot,22,15.7231,1169,1.274e-05
Secondary Cathode,phot,22,15.7231,1164,1.291e-05
Secondary Cathode,phot,22,15.7231,1163,2.548e-05
Secondary Cathode,phot,22,15.7232,1176,2.565e-05
Secondary Cathode,phot,22,15.7232,1179,2.565e-05
Secondary Cathode,phot,22,15.7231,1163,2.565e-05
Secondary Cathode,phot,22,15.7231,1184,1.274e-05
Secondary Cathode,phot,22,15.7233,1143,6.404e-05
Secondary Cathode,phot,22,15.7234,1189,1.274e-05
Secondary Cathode,phot,22,15.7234,1195,3.856e-05
Secondary Cathode,phot,22,15.7233,1189,2.044e-05
Secondary Cathode,phot,22,15.7233,1188,3.301e-05
Secondary Cathode,phot,22,15.7233,1203,2.548e-05
Secondary Cathode,phot,22,15.7233,1208,1.274e-05
Secondary Cathode,phot,22,15.7233,1203,1.274e-05
Secondary Cathode,phot,22,15.7233,1213,1.911e-05
Secondary Cathode,phot,22,15.7233,1215,1.291e-05
Secondary Cathode,phot,22,15.7233,1143,2.565e-05
Secondary Cathode,phot,22,15.7235,1143,1.274e-05
Secondary Cathode,phot,22,15.7235,1142,1.274e-05
Secondary Cathode,phot,22,15.7235,1128,6.37e-06
Secondary Cathode,phot,22,15.7235,1128,1.92e-05
Secondary Cathode,phot,22,15.7235,1128,1.283e-05
Secondary Cathode,phot,22,15.7235,1128,1.274e-05
Secondary Cathode,phot,22,15.7235,1240,2.565e-05
Secondary Cathode,phot,22,15.7235,1240,1.274e-05
Secondary Cathode,phot,22,15.7235,1128,5.883e-05
Secondary Cathode,phot,22,15.7235,1247,1.291e-05
Secondary Cathode,phot,22,15.7235,1247,1.274e-05
Secondary Cathode,phot,22,15.7235,1246,1.291e-05
Secondary Cathode,phot,22,15.7235,1246,2.565e-05
Secondary Cathode,phot,22,15.7235,1258,1.291e-05
Secondary Cathode,phot,22,15.7235,1258,3.856e-05
Secondary Cathode,phot,22,15.7237,1128,1.274e-05
Secondary Cathode,phot,22,15.7237,1128,1.291e-05
Secondary Cathode,phot,22,15.7236,1128,2.548e-05
Secondary Cathode,phot,22,15.7236,1128,1.274e-05
Secondary Cathode,phot,22,15.7256,13,1.92e-05
Secondary Cathode,phot,22,15.7256,1272,1.291e-05
Secondary Cathode,phot,22,15.7256,1272,1.274e-05
Secondary Cathode,phot,22,15.7256,1277,1.274e-05
Secondary Cathode,phot,22,15.7267,13,2.565e-05
Secondary Cathode,phot,22,15.7267,1281,1.291e-05
Secondary Cathode,phot,22,15.7267,1281,1.274e-05
Secondary Cathode,phot,22,15.7267,1280,1.274e-05
Secondary Cathode,phot,22,15.7382,13,0.00010226
Secondary Cathode,phot,22,15.7382,1291,1.274e-05
Secondary Cathode,phot,22,15.7382,1291,1.291e-05
Secondary Cathode,phot,22,15.7382,1290,1.274e-05
Secondary Cathode,phot,22,15.7382,1301,6.37e-06
Secondary Cathode,phot,22,15.7386,1289,1.291e-05
Secondary Cathode,phot,22,15.7386,1289,5.13e-05
Secondary Cathode,phot,22,15.7386,1313,1.291e-05
Secondary Cathode,phot,22,15.7386,1313,1.283e-05
Secondary Cathode,phot,22,15.7385,1289,2.984e-05
Secondary Cathode,phot,22,15.7386,1289,1.291e-05
Secondary Cathode,phot,22,15.7386,1289,5.113e-05
Secondary Cathode,phot,22,15.7386,1325,1.274e-05
Secondary Cathode,phot,22,15.7386,1330,1.274e-05
Secondary Cathode,phot,22,15.7386,1325,1.291e-05
Secondary Cathode,phot,22,15.7385,1324,1.274e-05
Secondary Cathode,phot,22,15.7385,1324,2.548e-05
Secondary Cathode,phot,22,15.7385,1324,1.911e-05
Secondary Cathode,phot,22,15.7385,1341,1.274e-05
Secondary Cathode,phot,22,15.7385,1345,2.565e-05
Secondary Cathode,phot,22,15.7385,1348,1.274e-05
Secondary Cathode,phot,22,15.7385,1345,1.274e-05
Secondary Cathode,phot,22,15.7385,1324,6.37e-06
Secondary Cathode,phot,22,15.7383,1289,3.822e-05
Secondary Cathode,phot,22,15.7383,1355,1.274e-05
Secondary Cathode,phot,22,15.7383,1355,1.274e-05
Secondary Cathode,phot,22,15.7383,1355,2.565e-05
Secondary Cathode,phot,22,15.7383,1355,6.46e-06
Secondary Cathode,phot,22,15.7381,1289,2.565e-05
Secondary Cathode,phot,22,15.7381,1367,1.466e-05
Secondary Cathode,phot,22,15.7381,1367,1.291e-05
Secondary Cathode,phot,22,15.7374,1288,3.318e-05
Secondary Cathode,phot,22,15.7374,1288,2.565e-05
Secondary Cathode,phot,22,15.7374,1387,1.291e-05
Secondary Cathode,phot,22,15.7374,1288,2.565e-05
Secondary Cathode,phot,22,15.7374,1391,5.113e-05
Secondary Cathode,phot,22,15.7374,1396,2.565e-05
Secondary Cathode,phot,22,15.7374,1396,1.274e-05
Secondary Cathode,phot,22,15.7374,1403,2.565e-05
Secondary Cathode,phot,22,15.7374,1395,2.565e-05
Secondary Cathode,phot,22,15.7374,1391,2.565e-05
Secondary Cathode,phot,22,15.7374,1410,2.548e-05
Secondary Cathode,phot,22,15.7373,1288,1.466e-05
Secondary Cathode,phot,22,15.7372,1288,2.565e-05
Secondary Cathode,phot,22,15.7374,1288,1.466e-05
Secondary Cathode,phot,22,15.7374,1418,2.565e-05
Secondary Cathode,phot,22,15.7372,1288,2.565e-05
Secondary Cathode,phot,22,15.7373,1422,3.335e-05
