Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
Secondary Gas,hIoni,2212.000000,11.842754,0.155689,-1.760405,1.000000,0.000212
Secondary Gas,hIoni,2212.000000,11.843061,0.155693,-1.760434,1.000000,0.000008
Secondary Gas,hIoni,2212.000000,11.843177,0.155695,-1.760445,1.000000,0.000069
Secondary Gas,hIoni,2212.000000,11.843794,0.155703,-1.760503,1.000000,0.000131
Secondary Gas,hIoni,2212.000000,11.845651,0.155728,-1.760679,1.000000,0.000508
Secondary Gas,hIoni,2212.000000,11.845765,0.155730,-1.760690,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.846772,0.155743,-1.760785,1.000000,0.000098
Secondary Gas,hIoni,2212.000000,11.847239,0.155750,-1.760829,1.000000,0.000010
Secondary Gas,hIoni,2212.000000,11.847403,0.155752,-1.760845,1.000000,0.000002
Secondary Gas,hIoni,2212.000000,11.848944,0.155773,-1.760990,1.000000,0.000209
Secondary Gas,hIoni,2212.000000,11.849127,0.155775,-1.761007,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.849316,0.155778,-1.761025,1.000000,0.000030
Secondary Gas,hIoni,2212.000000,11.849368,0.155778,-1.761030,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.849384,0.155778,-1.761031,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.849565,0.155781,-1.761049,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.849903,0.155785,-1.761080,1.000000,0.000059
Secondary Gas,hIoni,2212.000000,11.850261,0.155790,-1.761114,1.000000,0.000004
Secondary Gas,hIoni,2212.000000,11.850534,0.155794,-1.761140,1.000000,0.000108
Secondary Gas,hIoni,2212.000000,11.851590,0.155808,-1.761239,1.000000,0.000415
Secondary Gas,hIoni,2212.000000,11.852302,0.155818,-1.761306,1.000000,0.000534
Secondary Gas,hIoni,2212.000000,11.852865,0.155825,-1.761359,1.000000,0.000297
Secondary Gas,hIoni,2212.000000,11.853710,0.155836,-1.761439,1.000000,0.000090
Secondary Gas,hIoni,2212.000000,11.853994,0.155840,-1.761466,1.000000,0.000012
Secondary Gas,hIoni,2212.000000,11.854884,0.155852,-1.761549,1.000000,0.000418
Secondary Gas,hIoni,2212.000000,11.854957,0.155853,-1.761556,1.000000,0.000017
Secondary Gas,hIoni,2212.000000,11.855191,0.155856,-1.761578,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.855812,0.155864,-1.761637,1.000000,0.000121
Secondary Gas,hIoni,2212.000000,11.856054,0.155867,-1.761659,1.000000,0.000252
Secondary Gas,hIoni,2212.000000,11.856623,0.155875,-1.761713,1.000000,0.000352
Secondary Gas,hIoni,2212.000000,11.857004,0.155880,-1.761749,1.000000,0.000268
Secondary Gas,hIoni,2212.000000,11.857444,0.155886,-1.761790,1.000000,0.000003
Secondary Gas,hIoni,2212.000000,11.857515,0.155887,-1.761797,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.857538,0.155887,-1.761799,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.858532,0.155900,-1.761893,1.000000,0.000096
Secondary Gas,hIoni,2212.000000,11.859665,0.155914,-1.762000,1.000000,0.000146
Secondary Gas,hIoni,2212.000000,11.859985,0.155918,-1.762030,1.000000,0.000014
Secondary Gas,hIoni,2212.000000,11.860273,0.155922,-1.762057,1.000000,0.000036
Secondary Gas,hIoni,2212.000000,11.860994,0.155931,-1.762126,1.000000,0.000764
Secondary Gas,hIoni,2212.000000,11.861723,0.155940,-1.762195,1.000000,0.000039
Secondary Gas,hIoni,2212.000000,11.862146,0.155946,-1.762235,1.000000,0.000052
Secondary Gas,hIoni,2212.000000,11.862261,0.155947,-1.762245,1.000000,0.000000
Secondary Gas,hIoni,2212.000000,11.862347,0.155948,-1.762254,1.000000,0.000003
Secondary Gas,hIoni,2212.000000,11.862385,0.155949,-1.762257,1.000000,0.000000
