Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
Secondary ,Cathode,phot,22.000000,15.338317,0.610322,3.011354,687.000000,0.000025
Secondary ,Cathode,phot,22.000000,15.338316,0.610322,3.011354,686.000000,0.000015
Secondary ,Cathode,phot,22.000000,15.338317,0.610322,3.011354,686.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.338319,0.610322,3.011354,699.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.338320,0.610322,3.011354,699.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.338243,0.610330,3.011351,656.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.338216,0.610328,3.011353,656.000000,0.000006
Secondary ,Cathode,phot,22.000000,15.338216,0.610328,3.011353,706.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.338215,0.610328,3.011352,706.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.338215,0.610328,3.011352,711.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.338072,0.610325,3.011349,656.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.338072,0.610325,3.011350,714.000000,0.000006
Secondary ,Cathode,phot,22.000000,15.338067,0.610325,3.011349,718.000000,0.000015
Secondary ,Cathode,phot,22.000000,15.338072,0.610325,3.011350,714.000000,0.000019
Secondary ,Cathode,phot,22.000000,15.338071,0.610325,3.011350,714.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.338070,0.610325,3.011350,724.000000,0.000025
Secondary ,Cathode,phot,22.000000,15.338071,0.610325,3.011350,727.000000,0.000015
Secondary ,Cathode,phot,22.000000,15.338694,0.610252,3.010985,655.000000,0.000020
Secondary ,Cathode,phot,22.000000,15.338691,0.610252,3.010985,742.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.338681,0.610251,3.010986,655.000000,0.000025
Secondary ,Cathode,phot,22.000000,15.338681,0.610251,3.010986,748.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.338680,0.610251,3.010986,748.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.338682,0.610251,3.010986,747.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.338606,0.610245,3.010985,655.000000,0.000015
Secondary ,Cathode,phot,22.000000,15.338513,0.610247,3.010986,655.000000,0.000019
Secondary ,Cathode,phot,22.000000,15.338513,0.610247,3.010986,757.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.338531,0.610248,3.010987,655.000000,0.000051
Secondary ,Cathode,phot,22.000000,15.338529,0.610247,3.010988,764.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.338531,0.610247,3.010988,769.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.338535,0.610247,3.010987,764.000000,0.000019
Secondary ,Cathode,phot,22.000000,15.338476,0.610242,3.010977,655.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.338476,0.610242,3.010977,775.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.338478,0.610226,3.010957,655.000000,0.000097
Secondary ,Cathode,phot,22.000000,15.338482,0.610226,3.010957,781.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.338478,0.610226,3.010957,781.000000,0.000013
Secondary ,Cathode,phot,22.000000,15.338483,0.610226,3.010958,781.000000,0.000025
Secondary ,Cathode,phot,22.000000,15.338483,0.610226,3.010958,780.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.338474,0.610227,3.010958,780.000000,0.000026
Secondary ,Cathode,phot,22.000000,15.338220,0.610209,3.010997,779.000000,0.000051
Secondary ,Cathode,phot,22.000000,15.338221,0.610209,3.010998,805.000000,0.000006
Secondary ,Cathode,phot,22.000000,15.338211,0.610209,3.010996,805.000000,0.000038
Secondary ,Cathode,phot,22.000000,15.338228,0.610210,3.010998,779.000000,0.000013
