Volume, Process, Particle, Process, Radius, theta, phi, SecondaryParent, EnergyDeposit
 \\\\\\\\\\  Run 0 start. ////////////////////
================= EVENT 1 =================
================= EVENT 2 =================
================= EVENT 3 =================
================= EVENT 4 =================
================= EVENT 5 =================
================= EVENT 6 =================
================= EVENT 7 =================
================= EVENT 8 =================
================= EVENT 9 =================
================= EVENT 10 =================
Primary ,Gas,neutronInelastic,2112.000000,9.491037,0.286495,2.281513,0.000000,0.000000
Secondary ,Gas,ionIoni,1000070140.000000,9.493888,0.286111,2.281209,1.000000,0.000104
Secondary ,Gas,ionIoni,1000070140.000000,9.493947,0.286103,2.281203,1.000000,0.000390
Secondary ,Gas,ionIoni,1000070140.000000,9.493950,0.286103,2.281202,1.000000,0.000015
Secondary ,Gas,ionIoni,1000070140.000000,9.493951,0.286103,2.281202,1.000000,0.000000
Secondary ,Gas,ionIoni,1000070140.000000,9.493985,0.286098,2.281199,1.000000,0.000102
Secondary ,Gas,ionIoni,1000070140.000000,9.493990,0.286097,2.281198,1.000000,0.000004
Secondary ,Gas,ionIoni,1000070140.000000,9.493994,0.286097,2.281198,1.000000,0.000007
Secondary ,Gas,ionIoni,1000070140.000000,9.494029,0.286092,2.281194,1.000000,0.000277
Secondary ,Gas,ionIoni,1000070140.000000,9.494054,0.286089,2.281191,1.000000,0.000149
Secondary ,Gas,ionIoni,1000070140.000000,9.494055,0.286089,2.281191,1.000000,0.000003
Secondary ,Gas,ionIoni,1000070140.000000,9.494060,0.286088,2.281191,1.000000,0.000033
Secondary ,Gas,ionIoni,1000070140.000000,9.494073,0.286086,2.281189,1.000000,0.000093
Secondary ,Gas,ionIoni,1000070140.000000,9.494086,0.286085,2.281188,1.000000,0.000153
Secondary ,Gas,ionIoni,1000070140.000000,9.494109,0.286082,2.281186,1.000000,0.000494
Secondary ,Gas,ionIoni,1000070140.000000,9.494149,0.286076,2.281181,1.000000,0.000350
Secondary ,Gas,ionIoni,1000070140.000000,9.494156,0.286075,2.281181,1.000000,0.000003
Secondary ,Gas,ionIoni,1000070140.000000,9.494172,0.286073,2.281179,1.000000,0.000033
Secondary ,Gas,ionIoni,1000070140.000000,9.494206,0.286068,2.281175,1.000000,0.000454
Secondary ,Gas,ionIoni,1000070140.000000,9.494206,0.286068,2.281175,1.000000,0.000000
Secondary ,Gas,ionIoni,1000070140.000000,9.494206,0.286068,2.281175,1.000000,0.000000
